animal,type,zoo
Sierra Madre Salamanders,amph/rep,San Antonio
Spadefoot toad,amph/rep,San Antonio
Surinam toad,amph/rep,San Antonio
Texas Toad,amph/rep,San Antonio
Tiger salamander,amph/rep,San Antonio
Tomato Frog,amph/rep,San Antonio
Vietnamese mossy frog,amph/rep,San Antonio
White’s tree frog,amph/rep,San Antonio
Yellow-banded poison arrow frog,amph/rep,San Antonio
Yellow-striped caecilian,amph/rep,San Antonio
Addax,mammal,San Antonio
Addra gazelle,mammal,San Antonio
African crested porcupine,mammal,San Antonio
African lion,mammal,San Antonio
African wild dog,mammal,San Antonio
Francois' langur,mammal,San Antonio
Black-and-white ruffed lemur,mammal,San Antonio
Black-footed cat,mammal,San Antonio
Black-handed spider monkey,mammal,San Antonio
Black-tailed prairie dog,mammal,San Antonio
Babirusa,mammal,San Antonio
Black mangabey,mammal,San Antonio
Black rhinoceros,mammal,San Antonio
Capybara,mammal,San Antonio
Cheetah,mammal,San Antonio
African palm civet,mammal,San Antonio
Clouded leopard,mammal,San Antonio
Coati,mammal,San Antonio
Colobus,mammal,San Antonio
Common squirrel monkey,mammal,San Antonio
Common warthog,mammal,San Antonio
Cotton-headed tamarin,mammal,San Antonio
Domestic sheep,mammal,San Antonio
Fishing cat,mammal,San Antonio
Fossa,mammal,San Antonio
Giant anteater,mammal,San Antonio
Goeldi's monkey,mammal,San Antonio
Golden lion tamarin,mammal,San Antonio
Golden-bellied mangabey,mammal,San Antonio
Golden-headed tamarin,mammal,San Antonio
Goodfellow's tree kangaroo,mammal,San Antonio
Grizzly bear,mammal,San Antonio
Hippopotamus,mammal,San Antonio
Indian elephant,mammal,San Antonio
Jaguar,mammal,San Antonio
Kinkajou,mammal,San Antonio
Malayan tapir,mammal,San Antonio
Linne's two-toed sloth,mammal,San Antonio
Naked mole-rat,mammal,San Antonio
Nine-banded Armadillo,mammal,San Antonio
North American black bear,mammal,San Antonio
North American river otter,mammal,San Antonio
Northern tamandua,mammal,San Antonio
Northern tree shrew,mammal,San Antonio
Nubian ibex,mammal,San Antonio
Ocelot,mammal,San Antonio
Okapi,mammal,San Antonio
Oriental small-clawed otter,mammal,San Antonio
Pale-headed saki,mammal,San Antonio
Parma wallaby,mammal,San Antonio
Pied tamarin,mammal,San Antonio
Prevost's squirrel,mammal,San Antonio
Red kangaroo,mammal,San Antonio
Red ruffed lemur,mammal,San Antonio
Reeves' muntjac,mammal,San Antonio
Reticulated giraffe,mammal,San Antonio
Short-tailed bat,mammal,San Antonio
South American tapir,mammal,San Antonio
Southern white rhinoceros,mammal,San Antonio
Spectacled bear,mammal,San Antonio
Spekes' gazelle,mammal,San Antonio
Spotted hyena,mammal,San Antonio
Sumatran tiger,mammal,San Antonio
Topi,mammal,San Antonio
White-cheeked gibbon,mammal,San Antonio
White-throated capuchin,mammal,San Antonio
Wolf's guenon,mammal,San Antonio
Yellow-backed duiker,mammal,San Antonio
Yellow-footed rock wallaby,mammal,San Antonio
Abyssinian ground hornbill,bird,San Antonio
African ground hornbill,bird,San Antonio
African white-backed vulture,bird,San Antonio
American common goldeneye,bird,San Antonio
American kestrel,bird,San Antonio
American white pelican,bird,San Antonio
Andean condor,bird,San Antonio
Attwater's prairie chicken,bird,San Antonio
Australian shelduck,bird,San Antonio
Australian wood duck,bird,San Antonio
Bald eagle,bird,San Antonio
Bali/Rothschild's mynah,bird,San Antonio
Bar-headed goose,bird,San Antonio
Bartlett’s dove,bird,San Antonio
Bleeding heart pigeon,bird,San Antonio
Black crake,bird,San Antonio
