Date,Source,Site ID,POC,Daily Mean Pb Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
7/12/2017,AQS,271377549,1,0,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
7/18/2017,AQS,271377549,1,0,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
7/24/2017,AQS,271377549,1,0.001,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
7/30/2017,AQS,271377549,1,0.001,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
8/5/2017,AQS,271377549,1,0.002,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
8/11/2017,AQS,271377549,1,0.004,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
8/17/2017,AQS,271377549,1,0.001,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
8/23/2017,AQS,271377549,1,0.001,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
8/29/2017,AQS,271377549,1,0.001,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
9/4/2017,AQS,271377549,1,0.001,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
9/10/2017,AQS,271377549,1,0.004,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
9/16/2017,AQS,271377549,1,0.002,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
9/22/2017,AQS,271377549,1,0.001,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
9/28/2017,AQS,271377549,1,0.001,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
10/4/2017,AQS,271377549,1,0.002,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
10/10/2017,AQS,271377549,1,0.002,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
10/16/2017,AQS,271377549,1,0.004,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
10/22/2017,AQS,271377549,1,0.001,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
10/28/2017,AQS,271377549,1,0.001,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
11/3/2017,AQS,271377549,1,0.002,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
11/9/2017,AQS,271377549,1,0.001,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
11/15/2017,AQS,271377549,1,0.001,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
11/21/2017,AQS,271377549,1,0.001,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
11/27/2017,AQS,271377549,1,0.001,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
12/3/2017,AQS,271377549,1,0.003,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
12/9/2017,AQS,271377549,1,0.001,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
12/15/2017,AQS,271377549,1,0,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
12/21/2017,AQS,271377549,1,0,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
12/27/2017,AQS,271377549,1,0.002,ug/m3 LC,.,Michigan Street,1,100,14129,Lead (TSP) LC,20260,"Duluth, MN-WI",27,Minnesota,137,Saint Louis,46.77107,-92.11732
